Dept,ClassNum,SectionNum,Units,StartTime,EndTime,Days,SeatsTaken,SeatsTotal,Professor,ClassCode,ClassMode,Desc,Rating
BUS5,182,1,3.0,1330,1445.0,MW,46,45,I Quan,23515,In Person,Bus Plan for New Venture,4.2
TA,048,1,3.0,1030,1145.0,MW,22,30,S Anderson,25823,In Person,Voice & Movement,3.6
EE,198A,4,1.0,1000,1245.0,F,15,20,T Le,25099,In Person,EE Sr Dsgn Proj I,2.7
CS,267,1,3.0,1630,1745.0,TR,16,20,C Wu,27543,In Person,Topics in Database Sys,2.49
AVIA,194,1,3.0,1800,2045.0,W,46,40,D Neal,23229,In Person,Pilot Avion & GA Systems,5.0
BUS3,189,13,3.0,1500,1615.0,TR,39,30,G Radine,21587,In Person,Strategic Mgmt,4.5
MDES,180,3,3.0,TBA,,TBA,0,1,J Rycenga,29244,In Person,Indiv Studies,4.4
JOUR,140D,1,3.0,1500,1615.0,MTWR,16,25,R Nichols,28100,In Person,StuMediaProd: Mag,4.3
ARTH,015,1,3.0,0900,1015.0,MW,69,70,I Pafford,22421,In Person,Visual Culture,3.2
SOCI,101,2,3.0,0900,1015.0,TR,31,30,P Chua,23798,In Person,Social Theory,3.2
TA,091,2,0.0,TBA,,TBA,24,25,A Bechert,27634,In Person,Scenic Paint Props,5.0
HS,167,2,0.0,1330,1415.0,R,24,25,J Pham,22376,In Person,Biostatistics,4.6
CHAD,161,2,3.0,1600,1845.0,T,26,30,M Conroy,30143,In Person,Ch Care Admin II,2.3
CHAD,268,1,3.0,1600,1845.0,R,11,10,K Tsai,28868,In Person,Sem in Soc/Em Dev,4.6
PHIL,066,4,3.0,0900,1015.0,TR,39,40,F Alberts,28065,In Person,Intro Aesthetics,4.3
ENVS,194,6,6.0,TBA,,TBA,0,3,C Rampini,22705,In Person,Environment Intern,3.0
COMM,130F,80,4.0,TBA,,TBA,22,25,T Coopman,25044,Online Only - TBA Mtg Pat,Activism/Action,3.8
GEOL,111,3,3.0,1030,1145.0,MW,24,37,A Van Dyne,27090,In Person,Geol and Envir,4.3
CMPE,180B,1,3.0,1630,1745.0,TR,26,50,K Li,29107,In Person,Database Systems,3.9
AMS,001B,5,0.0,1200,1315.0,MW,27,32,S Brown,27533,In Person,Am Cults 1877-pres,2.49
NUFS,192,7,2.0,TBA,,TBA,18,20,J Kubota,25921,In Person,Fld Exp NufS/Pkg,4.0
RELS,180,1,1.0,TBA,,TBA,0,1,J Rycenga,27937,In Person,Indiv Studies,4.4
ENVS,144,1,4.0,1100,1245.0,F,15,20,G Klee,28811,In Person,Calif Wetland Controv,3.4
NUFS,192,4,4.0,TBA,,TBA,0,20,D Billings,25918,In Person,Fld Exp NufS/Pkg,3.3
LING,108,1,3.0,1200,1315.0,MW,11,25,S Vanniarajan,22107,In Person,Sec Lang Dev/Teach,4.2
MATH,143C,1,3.0,1200,1315.0,MW,31,25,M Saleem,28928,In Person,Num Analy Sci Comp,4.3
ECON,001A,5,4.0,1030,1145.0,MW,38,40,M Brady,28860,In Person,Prin of Econ,3.5
SCWK,204,3,3.0,0930,1215.0,F,28,30,G Thomas,22293,In Person,Soc Pol Analsis,4.3
MATH,161A,2,3.0,1500,1615.0,MW,38,35,O Kovaleva,24167,In Person,Appl Prob & Stats I,3.3
KIN,107,1,1.0,1200,1350.0,F,25,25,J Lee,22773,In Person,Adapted Aquatics,5.0
SCWK,204,1,3.0,1230,1515.0,F,26,30,C Burkett,21903,In Person,Soc Pol Analsis,2.49
HIST,015,3,3.0,1030,1145.0,MW,52,48,M Wilson,27707,In Person,Esntl US History,2.8
RELS,099,1,3.0,1330,1445.0,MW,15,30,T Perreira,27930,In Person,Death Dying & Rels,4.0
CMPE,125,4,0.0,1430,1720.0,T,18,25,D Hung,24601,In Person,Digital Design 2,3.9
MUSC,010A,2,3.0,1330,1445.0,MW,70,70,R Sacolick,23065,In Person,Music Appreciation,3.4
COMM,020,22,3.0,1030,1145.0,TR,27,27,K Raiff,22056,In Person,Public Speaking,4.8
BUS1,170,12,3.0,1800,2045.0,T,45,45,M Faulkner,24792,In Person,Fund of Finance,4.0
