Dept,ClassNum,SectionNum,Units,StartTime,EndTime,Days,SeatsTaken,SeatsTotal,Professor,ClassCode,ClassMode,Desc,Rating
CHAD,160,4,0.0,1215,1515.0,MW,11,6,J Foster,22987,In Person,Child Dev Pract,4.4
HS,167,3,0.0,1415,1500.0,R,26,25,J Pham,22377,In Person,Biostatistics,4.6
BUS1,170,13,3.0,1800,2045.0,W,49,45,G Sapp,24793,In Person,Fund of Finance,
NUFS,220A,1,3.0,1800,2045.0,M,11,18,J Berta,20635,In Person,Adv Mnt,2.49
PHYS,051,26,0.0,0900,1150.0,R,18,16,A Dynneson,22160,In Person,General Physics,2.49
PHYS,002B,2,4.0,1030,1145.0,MW,39,40,K Wharton,23218,In Person,Fund of Physics,3.9
PHIL,186,6,3.0,1500,1615.0,MW,31,60,M Jordan,28099,In Person,Prof & Bus Ethics,4.9
PHOT,040,7,3.0,1500,1750.0,TR,12,24,G Tahmooresizadeh,23463,In Person,Beg Photography,2.49
MATH,102,1,3.0,1030,1145.0,TR,6,28,B Pence,24179,In Person,Sec School Mat,2.5
BUS1,170,10,3.0,1330,1445.0,TR,46,45,S Tahsin,24790,In Person,Fund of Finance,5.0
PHIL,186,86,3.0,TBA,,TBA,20,45,T Gullion,28286,Online Only - TBA Mtg Pat,Prof & Bus Ethics,4.5
NUFS,144,80,3.0,TBA,,TBA,29,30,S Spencer,25882,Online Only - TBA Mtg Pat,Food Culture,3.8
ANTH,122,81,3.0,TBA,,TBA,31,40,L Gilmore,29190,Online Only - TBA Mtg Pat,Magic Science Reli,3.6
NUFS,299,4,1.0,TBA,,TBA,0,10,J Gieng,20677,In Person,Mas Thesis or Proj,5.0
DSGD,099,2,3.0,1200,1450.0,MW,25,25,C Kim,24770,In Person,Intro Typography,4.0
SOCI,161,1,3.0,1330,1445.0,TR,27,35,P Chua,27692,In Person,City Life,3.2
COMM,299,2,2.0,TBA,,TBA,0,5,,21525,In Person,Master's Thesis,2.49
BUS2,090,5,3.0,1500,1615.0,TR,48,45,S Saseetharran,30167,In Person,Bus Statistics,2.49
ME,120,3,0.0,1330,1615.0,T,16,16,A Mysore,26524,In Person,Experimental Meths,3.7
ENGL,100A,4,3.0,1030,1145.0,TR,20,20,A Petty,28138,In Person,Writing Competency,2.49
ME,136,1,3.0,1930,2045.0,TR,23,35,E Cydzik,26515,In Person,Des For Manufactur,
CS,046A,12,0.0,1100,1345.0,F,31,30,Q Yang,24955,In Person,Intro to Progrmng,
BIOL,140,3,3.0,1200,1315.0,MW,14,60,J McDaniel,29351,In Person,Human Sexuality,3.0
COMM,115P,80,4.0,TBA,,TBA,25,25,C Perez,23031,Online Only - TBA Mtg Pat,Comm and Conflict,4.2
TECH,165,11,0.0,1200,1445.0,T,40,40,O Rashel,23714,In Person,Wireless Comm Tech,2.49
CS,154,2,3.0,1500,1615.0,TR,32,30,A Yazdankhah,27399,In Person,Formal Lang & Comput,3.8
PHYS,050,25,0.0,1200,1450.0,W,15,16,N Adham,22136,In Person,General Physics,2.49
MUSC,055,2,1.0,1815,2125.0,M,2,30,D Vickerman,28199,In Person,ENS: WindEnsemble,4.0
CS,151,5,3.0,1330,1445.0,MW,22,30,K Tarnowska,23568,In Person,Object Orntd Dsgn,2.5
ECON,001A,2,4.0,0730,845.0,MW,34,40,D Clarke,29142,In Person,Prin of Econ,3.0
PSYC,142,2,3.0,0900,1015.0,MW,36,35,L Heiden,25286,In Person,Child Psychopathol,2.3
POLS,124,1,3.0,1330,1445.0,MW,7,35,T Trumbull,29362,In Person,Intro Env Law,3.8
ARTH,101,2,3.0,1330,1445.0,TR,11,15,D Bowen,29887,In Person,Intro to Art History,4.0
JS,136,81,3.0,TBA,,TBA,37,40,S Martinek,29608,Online Only - TBA Mtg Pat,Fam&Comm Violence,4.0
COMM,100W,13,3.0,1500,1615.0,R,25,25,B McMurray,21728,2 Pat - Mtg Pat & TBA (See Class Note),Writing Workshop,2.49
AS,001B,2,0.0,0930,1130.0,F,25,80,M Neubauer,21317,In Person,Foundation of USAF,2.49
EDCO,266,1,3.0,1900,2145.0,M,20,30,X Hu,20165,In Person,Ed & Career Plan,5.0
AVIA,043,1,3.0,1615,1800.0,M,49,44,D Neal,21119,In Person,Propul Theory,5.0
MS,298,23,3.0,TBA,,TBA,0,25,,21664,In Person,Resrch Mar Sci,2.49
AE,015,2,1.0,1630,1720.0,W,3,30,S Montgomery,29996,In Person,Air & Space Flight,5.0
LLD,100WB,2,3.0,0900,1015.0,MW,25,25,K Sanders,23589,In Person,Wrtg Wrkshp Bsns Stdnts,5.0
OCTH,286,3,4.0,1330,1445.0,TR,11,11,M Tipton-Burton,21952,In Person,Seminar & Pract IB,2.49
EDSE,014A,2,3.0,0900,1015.0,TR,33,30,E Smith,21129,In Person,American Sign I,4.8
ANTH,012,4,3.0,1500,1615.0,MW,40,40,A Hedges,23876,In Person,Intro to Human Evol,
HA,187,1,3.0,1500,1750.0,TR,8,10,P Krayna,28743,In Person,Creative Practicum,2.0
ART,219,1,3.0,TBA,,TBA,0,6,A Raynsford,20012,In Person,Tutrls Spatial Art,4.0
ECON,001A,61,4.0,1630,1745.0,TR,40,40,D Crooks,28864,In Person,Prin of Econ,4.0
ECON,001A,63,4.0,1330,1445.0,MW,42,40,M Adeel,28861,In Person,Prin of Econ,4.5
CHAD,100W,2,3.0,1030,1145.0,MW,25,25,J Kitajima,22032,In Person,Writing Workshop,2.49
METR,298,30,3.0,TBA,,TBA,1,5,A Bridger,21270,In Person,Research,2.49
BUS2,090,4,3.0,1030,1145.0,MW,45,45,A Kalinowski,30184,In Person,Bus Statistics,3.0
HS,175,1,3.0,1800,2045.0,R,27,45,C Castuciano,22279,In Person,Lgl/Ethcl--HC Adm,3.7
NURS,100W,80,3.0,TBA,,TBA,6,25,R Rinck,29534,Online Only - TBA Mtg Pat,Writing Workshop,3.8
EE,297A,3,3.0,0900,1800.0,S,10,15,B Sirkeci,24777,In Person,MSEE Proj Proposal,4.6
BIOL,030,21,0.0,0730,1020.0,F,22,24,C Montan,23384,In Person,Biology I,2.49
SCI,184,5,3.0,TBA,,TBA,0,50,,21031,In Person,Directed Reading,2.49
KIN,187,2,3.0,1330,1445.0,TR,42,40,A Jensen,24244,In Person,Clin Ex Physiol,2.49
LSTP,085B,1,1.0,0900,950.0,T,33,30,R Messina,27924,In Person,Fieldwork in Hum B,2.49
CHAD,100W,6,3.0,1200,1315.0,TR,22,25,G Cava,22509,In Person,Writing Workshop,3.6
AS,141B,1,3.0,1300,1600.0,F,8,25,W Priebe,23345,In Person,Prep Active Duty,2.49
ART,170,1,3.0,1500,1750.0,MW,11,24,S Davis,22472,In Person,Welding and Casting,2.49
HS,161,4,0.0,1700,1750.0,T,48,48,D Cao,25737,In Person,Epidemiology,5.0
PHYS,050,27,0.0,1500,1750.0,W,8,16,C Morante,28427,In Person,General Physics,2.49
SOCI,151,1,3.0,1030,1145.0,MW,38,35,S de Bourbon,22236,In Person,Violence in Family,2.49
INFO,237,1,3.0,TBA,,TBA,25,35,A Rothman,27046,Online Only - TBA Mtg Pat,SchLibMedMtls,2.49
EDCO,218,1,3.0,1900,2145.0,T,27,30,L Capizzi,25201,In Person,Couns Process,5.0
ANI,031,1,3.0,1800,2050.0,TR,26,25,J Jackson,29957,In Person,2D Animation I,3.9
PSYC,001,1,3.0,0930,1215.0,F,38,38,R Schulte,24993,In Person,Introductory Psychology,2.49
SCWK,242,3,3.0,1230,1515.0,F,27,30,K Lemon,21200,In Person,Res Meth Data Eval,2.49
EE,106,1,3.0,1630,1720.0,MW,4,140,B Furman,29435,In Person,Fund Mechatro Engr,3.0
POLS,003,2,3.0,1330,1445.0,MW,39,40,A Schendan,25931,In Person,Intro Pol Thought,3.9
BUS3,160,1,3.0,0900,1015.0,MW,45,45,E Mattarelli,20108,In Person,Fund Mgmt & Org Beh,5.0
MICR,184,1,1.0,TBA,,TBA,0,0,,20197,In Person,Directed Reading,2.49
ATH,048S,1,1.0,TBA,,TBA,12,20,B Wick,20071,In Person,Skls Dvlp Crs Ctry,2.49
ENGL,002,42,3.0,0900,1015.0,T,23,25,S Harvey,29086,2 Pat - Mtg & OL Pat (See Class Note),Critical Thinking and Writing,2.49
CMPE,131,1,3.0,1500,1615.0,MW,44,50,C Rojas,24611,In Person,Software Engr I,2.49
BUS,273,4,3.0,1800,2200.0,W,16,25,F Jones,22393,In Person,Bus Valuation,4.0
CHE,163L,5,0.0,1330,1615.0,R,12,12,A Portillo Rivera,27519,In Person,UG ChE Lab II,4.0
CHAD,070,8,3.0,1200,1315.0,TR,31,30,L Pirazzi,28804,In Person,Lifespan Devel,4.3
ISE,223,1,3.0,1500,1745.0,T,12,40,R Srinivasan,27212,In Person,Dec Model Sus Dev,2.49
MUSC,060L,2,1.0,TBA,,TBA,3,10,C Payne,25301,In Person,WoodwindEns,2.49
PSYC,120,30,4.0,0900,1015.0,TR,44,44,J Citron,20492,In Person,Adv Res Meth & Des,4.3
PHYS,121S,1,1.0,1100,1150.0,F,0,20,V Maraschin,29201,In Person,Radiation Safety,2.49
ME,165,81,3.0,1630,1915.0,M,36,35,S Bowley,29593,2 Pat - Mtg Pat & TBA (See Class Note),Com Aid Des in ME,1.7
CHIN,001B,1,4.0,1330,1510.0,MW,22,26,C Peng,25364,In Person,Elem Chinese,3.7
MILS,140B,1,4.0,1020,1200.0,TR,8,30,M Morales,21727,In Person,Ldrshp Cplx Wld,2.49
CS,158A,2,3.0,1800,1915.0,MW,21,30,P Nguyen,28983,In Person,Computer Networks,5.0
ME,041,13,1.0,1800,2045.0,T,23,24,D Muntz,29217,In Person,Mach Shop Safety,2.49
CA,139,1,3.0,1200,1450.0,TR,0,10,S Trimingham,29443,In Person,Teach Diversity Art,2.3
ITAL,001A,1,5.0,1500,1640.0,TR,17,20,A Iacomini-Bernardi,28502,2 Pat - Mtg Pat & TBA (See Class Note),Elem Italian,2.49
ENGL,298D,1,1.0,TBA,,TBA,0,10,R McNabb,28367,In Person,Departmental Thesis,2.49
JOUR,095,1,3.0,0900,1015.0,MW,6,20,M Cheers,20819,In Person,Digital News Photo,2.3
DANC,154B,1,3.0,1020,1200.0,T,17,25,H Cooper,22485,In Person,TPCS in Danc IV,4.0
COMM,198,8,2.0,TBA,,TBA,8,5,S Laczko,21551,In Person,Comm Applied Activity,
PHYS,002A,15,0.0,1630,1850.0,MW,24,23,A Chase,20943,In Person,Fund of Physics,3.8
BIOL,280,21,3.0,TBA,,TBA,1,15,J Johnston,25410,In Person,Individual Studies,
ARTH,176A,1,3.0,1330,1445.0,MW,20,70,H Sadikoglu Asan,28627,In Person,Gr Des Hist/Theory,3.0
PADM,213,1,3.0,1800,2045.0,M,10,20,M Record,23533,In Person,Pol  Analysis & Eval,4.7
MATH,031,3,4.0,1030,1140.0,MWF,38,60,M Van Der Poel,22231,In Person,Calculus II,3.1
MCOM,104,1,3.0,1030,1145.0,MW,21,20,Z Li,24249,In Person,Mass Comm Research,5.0
MUSC,123B,1,1.0,1030,1120.0,MW,16,20,T Hornig,21698,In Person,FundTechLowBr,1.0
COMM,280,5,3.0,TBA,,TBA,0,2,,27027,In Person,Independent Study,2.49
ENVS,185,11,0.0,TBA,,TBA,23,22,A Marquez,28923,In Person,Envir Impact Anal,3.0
METR,112,80,3.0,TBA,,TBA,44,46,J Clark,21944,Online Only - TBA Mtg Pat,Globl Climate Chng,1.8
ANI,101,2,3.0,1500,1750.0,MW,26,25,L Hill,22896,In Person,Visual Storytell,
GEOL,103,1,3.0,1800,2045.0,M,35,37,G Schwartz,22656,In Person,Earth Systems,
MATH,129A,2,3.0,1330,1445.0,MW,40,35,D Brinkman,26148,In Person,Linear Algebra I,3.8
PSYC,110,3,3.0,1200,1315.0,MW,53,40,G Callaghan,25007,In Person,Adult Psychopathol,4.6
ISE,298,4,4.0,TBA,,TBA,6,40,L Freund,27247,In Person,Spec Prob,3.1
CHAD,169,2,3.0,1030,1145.0,MW,31,30,D Bee-Gates,21973,In Person,Motiv Child/Adoles,
BIOL,142,3,4.0,0830,945.0,MW,2,18,C Pietsch,30025,In Person,Paleontology,
NUFS,163,2,3.0,1030,1145.0,TR,8,32,I Brown,28471,In Person,Phys Fit + Nutrit,3.5
ATH,030S,1,1.0,TBA,,TBA,19,50,S Tobin,20057,In Person,Skls Dvlp Soccer,2.49
ISE,213,1,3.0,1800,2045.0,M,83,70,A Kumar,27204,In Person,Princip of Engr Mgmt,3.1
SPAN,001B,4,4.0,0830,1010.0,TR,13,26,G Morales,23869,In Person,Elem Spanish,4.5
BUS4,091L,1,1.0,1800,1915.0,T,33,38,P Kwan,25212,In Person,Comp Tools for Bus,3.3
OCTH,226,1,3.0,0900,1145.0,M,19,21,W Schultz-Krohn,21593,In Person,OT with Children,3.7
KIN,163,10,3.0,1200,1315.0,MW,20,32,A Bloom,29324,In Person,Phys Fit + Nutrit,3.0
AMS,001B,1,0.0,1200,1315.0,MW,28,32,D Rivers,27529,In Person,Am Cults 1877-pres,2.49
RTVF,132B,1,3.0,1500,1645.0,W,19,18,H Mathias,27822,In Person,Adv Cinematography,4.2
ADV,116,1,3.0,1330,1615.0,MTWR,6,18,T Hendrick,20003,In Person,Spartan Daily Ad Staff,3.9
TA,051B,2,0.0,TBA,,TBA,18,18,D Weber,24021,In Person,Costume Perf Arts,2.49
EDUC,157SL,2,3.0,1500,1745.0,W,0,25,K Cole,29391,In Person,Comm Action & Serv,
BIOL,115,13,0.0,0930,1020.0,F,23,24,S Alladin,20091,In Person,General Genetics,
PHIL,186,5,3.0,1330,1445.0,MW,21,60,A Vaidya,28097,In Person,Prof & Bus Ethics,4.3
HS,114,2,3.0,TBA,,TBA,60,75,V Gomez,25608,In Person,Applied ComHealth,4.0
ME,295A,2,3.0,TBA,,TBA,0,20,F Amirkulova,23494,In Person,ME Project I,2.49
BUS3,186,81,3.0,TBA,,TBA,23,45,T Gullion,29296,Online Only - TBA Mtg Pat,Prof & Bus Ethics,4.5
POLS,163,1,3.0,1200,1315.0,MW,38,40,S Benson,23791,In Person,Amer Pol Thought,4.8
BUS3,159,1,3.0,1800,2045.0,W,48,35,M Gavino,20106,In Person,Senior Sem in HRM,3.6
SCWK,242,1,3.0,0930,1215.0,F,25,30,E Cohen,23148,In Person,Res Meth Data Eval,2.49
PSYC,167,2,3.0,1030,1145.0,MW,9,30,J Steidinger,30191,In Person,Sports Psychology,2.49
MUSC,061,1,1.0,TBA,,TBA,2,15,S Snitkovskaya,21696,In Person,StylesIntrpOpera1,2.49
ART,198,2,3.0,1200,1445.0,W,25,24,S O'Dell,22949,In Person,B.F.A. Seminar,
CHEM,001A,3,5.0,0830,920.0,MWF,123,150,E Migicovsky,29071,In Person,General Chem,4.6
KIN,189,1,1.0,1330,1520.0,T,19,20,K Han,20433,In Person,Care & Prev Lab,2.49
ENGL,002,1,3.0,1500,1615.0,TR,25,25,R Skinnell,22456,In Person,Critical Thinking and Writing,4.4
ASIA,115,1,3.0,0900,1015.0,MW,0,40,J Anderson,29238,In Person,Global Culture,4.5
NURS,054,1,0.0,TBA,,TBA,59,60,L Higgins,20227,In Person,Nursing Skills II,2.49
SOCI,101,3,3.0,1500,1615.0,TR,32,30,P Chua,24886,In Person,Social Theory,3.2
ART,198,1,3.0,1800,2045.0,T,22,24,V Mendoza,22948,In Person,B.F.A. Seminar,4.2
NURS,053,3,3.0,1100,1400.0,WF,20,20,J Noel,22484,In Person,Skills in Nursing I,5.0
RELS,090,1,3.0,1200,1315.0,MW,16,30,B Walters,27928,In Person,Bible Hist and Lit,4.5
BUS5,181,2,3.0,1030,1145.0,MW,40,40,I Quan,25320,In Person,Intro Entrepreneur,4.2
JS,156,3,3.0,0730,845.0,TR,17,40,V Montelongo,29925,In Person,"Gngs, Crim  & Just",2.49
PHYS,002B,13,0.0,0830,1120.0,T,18,16,R Parthasarathy,20261,In Person,Fund of Physics,2.7
ENGL,001A,18,3.0,1330,1445.0,TR,23,23,C Criez,22864,In Person,First Year Writing,4.3
MUSC,060F,3,1.0,TBA,,TBA,3,3,J Dryden,23086,In Person,SmallJazzEns,2.49
ART,110,1,3.0,1030,1145.0,TR,22,50,M Hankwitz,29357,In Person,Hst/Thry New Media,2.0
GEOL,105,80,3.0,TBA,,TBA,36,37,D Reed,22751,Online - TBA With Few Campus Mtg,Gen Oceanography,2.49
ISE,195B,1,3.0,1300,1545.0,F,39,50,B Saeed,27176,In Person,Sr ISE Design II,
BUS5,145,1,3.0,1800,2045.0,R,50,45,G Naroola,23434,In Person,Global Operations Strategy,4.7
WOMS,020,2,3.0,1030,1145.0,TR,22,35,S Gallardo,27686,In Person,Wom of Color in US,2.49
SCED,375,2,2.0,1600,1740.0,W,11,60,R Peters,24289,In Person,Colloq Sci Ed,2.49
MATH,1010PS,1,1.0,1200,1250.0,MW,12,28,L Torres,28951,In Person,Support Math 10P,2.49
INFO,200,4,3.0,TBA,,TBA,33,35,K Bontenbal,22857,Online Only - TBA Mtg Pat,Inf. Comm,4.5
SOCI,180,21,2.0,TBA,,TBA,0,2,,20598,In Person,Indiv Studies,2.49
ART,260,1,3.0,TBA,,TBA,9,10,A Raynsford,20015,In Person,Spec Tutrls in Art,4.0
PHYS,210,1,3.0,1330,1445.0,MW,16,15,R Heindl,28328,In Person,Electromag Theory,4.2
DSGD,108,1,3.0,1200,1450.0,MW,24,25,D Lee,22543,In Person,Gr Des Portfolio,2.0
METR,112,5,3.0,1200,1315.0,TR,46,46,D Centeno,21126,In Person,Globl Climate Chng,2.49
PHIL,012,2,3.0,1200,1315.0,TR,39,40,N Osborne,23018,In Person,Phil of the Person,4.3
ECON,166,1,4.0,1030,1145.0,TR,32,30,J Pogodzinski,28402,In Person,Urban Economics,4.0
AVIA,031,11,0.0,1200,1445.0,R,21,20,D Romano,22291,In Person,Aircrft Theor & Dsgn,3.9
NUFS,100W,8,3.0,0900,1015.0,MW,4,25,C Jones,29520,In Person,Writing Workshop,2.49
CCS,160,1,3.0,1800,2045.0,W,27,30,M Martinez,28598,In Person,Gender and Sexuality,2.49
BIOL,145,2,2.0,1330,1520.0,R,15,22,M deVries,27256,In Person,Marine Ecology,2.49
GLST,001B,81,3.0,TBA,,TBA,33,35,M Poffenroth,25078,Online Only - TBA Mtg Pat,Intro to Global Studies,3.8
OCTH,286,6,0.0,1630,1745.0,TR,10,11,M Sullivan,21955,In Person,Seminar & Pract IB,4.4
AVIA,195,1,3.0,TBA,,TBA,3,20,F Barez,21227,In Person,Intern Avia Indust,4.5
PHOT,121,4,3.0,1500,1750.0,MW,18,18,Y Williams,29801,In Person,Intro to Studio Light,4.0
GEOL,231,3,4.0,1330,1445.0,TR,6,18,R Miller,30027,In Person,Adv Struc Geology,2.49
EDSE,180,1,3.0,TBA,,TBA,0,3,,24234,In Person,Indiv Studies,2.49
AVIA,003,1,2.0,TBA,,TBA,18,30,C Hofstetter,22215,In Person,Intro Private Flt,2.49
RECL,199,1,3.0,1500,1745.0,R,25,30,K Pham,28374,In Person,Adv Prac in RT,2.49
RELS,190,2,3.0,1500,1745.0,T,0,25,T Perreira,29359,In Person,Sr Sem in Hum,4.0
GEOG,012,80,3.0,TBA,,TBA,29,30,G Pereira,23256,Online Only - TBA Mtg Pat,Global Geography,2.49
TECH,046,11,0.0,1500,1745.0,W,13,24,D Muntz,27506,In Person,Mach Oper & Mgmt,2.49
BUS3,150,3,3.0,1800,2045.0,W,41,45,S Moore,21946,In Person,Fund of HR Mgmt,3.5
COMM,040,10,3.0,0730,845.0,TR,25,26,L Walsh,23649,In Person,Argmnt/Advocacy,4.5
GEOL,001,12,0.0,0930,1215.0,F,21,25,R Missel,24071,In Person,General Geology,2.49
KIN,054A,2,1.0,0830,920.0,TR,20,20,J Schachner,20989,In Person,Begin Tae Kwon Do,4.8
COMM,190,6,6.0,TBA,,TBA,0,5,J Morrison,21868,In Person,Act Proj in Speech,4.1
COMM,080,5,1.0,TBA,,TBA,44,45,S McGaffey,23000,In Person,Communication Workshop,4.7
PSYC,120,21,0.0,1500,1700.0,T,22,22,G Savage,20491,In Person,Adv Res Meth & Des,2.49
BIOL,010,80,3.0,TBA,,TBA,95,95,M Poffenroth,23382,Online Only - TBA Mtg Pat,The Living World,3.8
COMM,179,81,3.0,TBA,,TBA,25,25,S Hinerman,23146,Online Only - TBA Mtg Pat,Media & Resistance,3.9
MILS,001B,1,2.0,0800,905.0,MW,6,30,M Morales,20345,In Person,Intro Tac Leadership,2.49
PHIL,108,1,3.0,1500,1745.0,R,14,35,J Stenberg,28753,In Person,Polit & Soc Phil,5.0
RECL,010,83,3.0,TBA,,TBA,35,35,W Spain,28873,Online Only - TBA Mtg Pat,Creat Meaning Life,4.3
MATH,071,2,3.0,1030,1145.0,MW,40,40,T Nguyen,28668,In Person,Calc Bus/Aviation,4.3
ECON,107,2,3.0,1200,1315.0,TR,10,35,C Su,29415,In Person,Env Econ & Policy,2.49
NUFS,144,10,3.0,1200,1315.0,TR,30,30,D Singamsetti,22565,In Person,Food Culture,4.5
CHEM,030A,4,0.0,1330,1620.0,T,28,28,D Parker,20141,In Person,Intro Chem,
RECL,010,81,3.0,TBA,,TBA,34,35,M Duphily,25880,Online Only - TBA Mtg Pat,Creat Meaning Life,3.0
METR,299,22,2.0,TBA,,TBA,1,5,S Chiao,21291,In Person,Thesis,
COMM,020N,1,3.0,1330,1445.0,M,26,25,C Tan,25031,2 Pat - Mtg Pat & TBA (See Class Note),Pub Sp Nonn Spks,4.6
RTVF,030,2,0.0,2000,2145.0,T,18,18,J Serna,27748,In Person,Intro Film/TV Prod,5.0
MUSC,161,1,1.0,TBA,,TBA,8,15,S Snitkovskaya,21425,In Person,REP: Styles Interp Opera I,2.49
BUS2,130,4,3.0,0900,1015.0,TR,50,45,S Lilienthal,21460,In Person,Intro to Marketing,4.0
ORGS,103,1,4.0,1200,1315.0,MW,7,15,A Faas,23100,In Person,Capstone,3.5
METR,174,1,3.0,1200,1315.0,MW,6,30,T Reddy,28815,In Person,Clim Chnge Solns,2.49
ME,154,1,4.0,1030,1210.0,MW,37,35,R Yee,22780,In Person,Mech Engr Design,2.8
BIOL,106L,1,1.0,1300,1550.0,W,20,24,S Shaffer,21359,In Person,Phys Ecol Lab,4.2
KIN,035B,1,1.0,0830,920.0,MW,29,32,R Montgomery,20931,In Person,Inter Wt Training,3.9
NUFS,124,1,3.0,1200,1315.0,MW,41,40,I Brown,20966,In Person,Disordr Eat & Nut Thrpy,3.5
BIOL,031,14,0.0,1630,1920.0,T,20,22,A Chen,22925,In Person,Biology II,4.7
AFAM,002B,81,3.0,TBA,,TBA,30,30,E Watkins,27746,Online Only - TBA Mtg Pat,AfAm & Dev Am Hist,
ME,113,2,4.0,0800,940.0,MW,29,35,E Thurlow,24733,In Person,Thermodynamics,3.0
CHEM,030B,5,0.0,1030,1320.0,T,14,22,J Oribello,30106,In Person,Intro Chem,2.49
MUSC,002B,1,1.0,1030,1120.0,MW,27,30,B Ciach,20204,In Person,Music Systems IIB,2.49
ME,106,1,3.0,1630,1720.0,MW,119,140,B Furman,27103,In Person,Fund Mechatro Engr,3.0
OCTH,222,2,3.0,1030,1145.0,TR,20,21,A George,22883,In Person,Funct Kinesiology,4.0
MCOM,299,2,6.0,TBA,,TBA,1,20,S Fosdick,24904,In Person,Mass Comm Thesis,3.8
CE,162,4,0.0,1330,1615.0,R,17,16,M Soliman,22009,In Person,Struc Concrete Des,4.3
JS,161,1,3.0,1330,1445.0,MW,23,60,B Westlake,29600,In Person,Intro Cybercrime,3.0
UNVS,180,2,2.0,TBA,,TBA,0,20,C Haight,21910,In Person,Indiv Studies,4.2
LING,021,9,3.0,1330,1445.0,TR,22,25,J Kitajima,27311,In Person,Langu and Thinking,4.3
KIN,156,1,3.0,1600,1845.0,R,47,30,E Siebert,25733,In Person,Intro Adapted Act,2.49
GEOL,150,2,2.0,TBA,,TBA,3,20,R Myatt,29489,In Person,Fld Stds Nat His Hist,4.0
SPAN,102B,1,3.0,0900,1015.0,MW,12,30,T Estrabao,25537,In Person,Hisp Amer Culture,3.8
KIN,035A,10,1.0,1430,1520.0,TR,34,32,L Pate,23231,In Person,Begin Wt Training,4.9
MUSC,152,1,1.0,1530,1720.0,TR,8,20,S Bengochea,20444,In Person,ENS: Opera Theater,2.49
ECON,139,2,4.0,0730,845.0,TR,42,40,N Nguyen,29773,In Person,Prin of Invest,4.7
ENGR,298I,1,1.0,TBA,,TBA,0,30,,21803,In Person,MSE Internship Experience,2.49
ME,147,1,3.0,1030,1145.0,MW,34,35,F Amirkulova,24740,In Person,Dyn Sys Vibs Cntrl,2.49
MS,298,12,2.0,TBA,,TBA,3,25,,21659,In Person,Resrch Mar Sci,2.49
BUS5,140,82,3.0,TBA,,TBA,45,45,A Loomba,24725,Online Only - TBA Mtg Pat,Fund of Oper Mgmt,3.5
PHIL,134,82,3.0,TBA,,TBA,42,42,E Sonnier,21157,Online Only - TBA Mtg Pat,"Computers, Ethics, Society",3.4
NURS,124,1,3.0,1200,1445.0,W,24,40,C Hill,23197,In Person,Nursing Theory II,5.0
JS,181,11,6.0,TBA,,TBA,0,10,S Ghatak,22194,In Person,Internship in JS,4.6
ADV,132,1,3.0,1630,1745.0,TR,25,25,J Delacruz,27992,In Person,UX UI Desn Ad,4.6
JS,151,3,3.0,1630,1915.0,R,11,60,Y Baba,23834,In Person,Crim Theory,3.2
CHAD,180,1,1.0,TBA,,TBA,0,5,E Slusser,20297,In Person,Indiv Studies,4.5
CE,121,3,0.0,1330,1615.0,W,11,18,S Koosha,21979,In Person,Transp Engrg,3.0
TECH,136,1,3.0,1930,2020.0,TR,24,30,N Malekpour,28571,In Person,Software Qual Mgmt,2.49
HS,169,3,3.0,1200,1315.0,MW,2,30,M Ruban,29230,In Person,Divrsty/Stress/Hlth,1.5
GEOL,111,2,3.0,0900,1015.0,MW,27,37,J Santos,27089,In Person,Geol and Envir,4.5
MS,231,2,0.0,TBA,,TBA,0,24,M Graham,23118,In Person,Biol Seaweeds,2.49
CHAD,104,2,3.0,1330,1445.0,TR,14,30,R Marx,25553,In Person,Program Evaluation,2.49
MUSC,153,1,1.0,1330,1520.0,TR,14,20,F Cohen,20211,In Person,ENS:UnivSymphOrchest,2.49
UNVS,015S,2,0.0,0800,945.0,WF,29,30,F Yarahmadi,28466,In Person,Stats Statway B,5.0
CMPE,127,2,0.0,1800,2050.0,M,22,24,I Cokgor,24607,In Person,Microproc Design 1,2.5
ENGL,001AS,26,3.0,1630,1745.0,MW,18,22,M Jalal,23625,In Person,FYW: Stretch English II,5.0
KIN,025A,2,1.0,0830,1020.0,T,23,25,D Allio,25563,In Person,Begin Golf,2.49
HS,277,1,3.0,1500,1745.0,M,22,25,K Roe,28280,In Person,Multi Com Health Pro,3.8
PHOT,040,6,3.0,1200,1450.0,TR,22,24,M Hershenow,22955,In Person,Beg Photography,2.49
METR,280,4,3.0,TBA,,TBA,1,5,C Clements,22843,In Person,Recent Dev In Metr,4.5
CMPE,132,1,3.0,1630,1745.0,MW,42,50,C Tarng,24641,In Person,Inf Security,3.8
MUSC,155,1,1.0,1330,1520.0,MW,27,30,D Vickerman,21467,In Person,ENS: Wind Ensemble,4.0
HUM,001B,6,6.0,1200,1315.0,TR,25,35,J Rycenga,27899,In Person,Hum Honors 1B,4.4
HSPM,161,1,3.0,1500,1745.0,M,18,40,R Adams,23250,In Person,Cruise Op Mgnt,2.49
ENGL,135,1,4.0,1200,1315.0,TR,24,25,C Miller,23582,In Person,Writing Nonfiction,4.4
CHIN,180,2,3.0,TBA,,TBA,0,5,C Peng,23338,In Person,Indiv Studies,3.7
COMM,179,82,3.0,TBA,,TBA,24,25,T Coopman,28294,Online Only - TBA Mtg Pat,Media & Resistance,3.8
